UserGenere,UserAge,UserExperience,TimeStamp,PlayerSpeed,PlayerAcceleration,CameraRotationZ,GameFps,DiscomfortLevel
1,0,0,28.00274,0,0,-0.010259,60,0
1,0,0,29.00299,0,0,0.00569,60,0
1,0,0,30.00318,0,0,-0.007017,60,0
1,0,0,31.00282,0,0,0.064687,60,0
1,0,0,32.00334,0,0,0.178666,60,0
1,0,0,33.00315,0,0,0.151196,60,0
1,0,0,34.00325,0,0,0.115542,60,0
1,0,0,35.00328,0,0,0.091576,60,0
1,0,0,36.00498,0,0,0.102407,58,0
1,0,0,37.00388,0,0,0.155777,58,0
1,0,0,38.00239,0,0,0.041519,58,0
1,0,0,38.99727,0,0,0.058221,90,0
1,0,0,39.99824,0,0,0.062447,90,0
1,0,0,40.99879,0,0,0.034119,90,0
1,0,0,41.9988,0,0,-0.010922,90,0
1,0,0,43.0019,0,0,0.197798,90,0
1,0,0,43.99906,0,0,0.238447,60,0
1,0,0,44.99318,0,0,-0.030017,60,0
1,0,0,46.00409,0,0,0.011209,60,0
1,0,0,47.00413,0,0,0.08554,60,0
1,0,0,48.00439,0,0,0.163804,60,0
1,0,0,49.00425,0,0,0.152025,62,0
1,0,0,50.00445,0,0,-0.214214,60,0
1,0,0,51.00471,0,0,-0.136525,60,0
1,0,0,52.00438,0,0,-0.185503,60,0
1,0,0,53.00458,0,0,-0.193772,60,0
1,0,0,54.00512,0,0,-0.048721,60,0
1,0,0,55.00455,0,0,-0.056028,60,0
1,0,0,56.00478,0,0,-0.065499,60,0
1,0,0,57.00501,0,0,-0.065612,60,0
1,0,0,58.0048,0,0,-0.101553,60,0
1,0,0,59.00499,0,0,-0.025351,60,0
1,0,0,60.00488,0,0,-0.055397,60,0
1,0,0,61.00513,0,0,0.07638,60,0
1,0,0,62.0053,0,0,-0.039996,60,0
1,0,0,63.00535,0,0,-0.054755,60,0
1,0,0,64.00523,0,0,0.033222,60,0
1,0,0,65.00559,0,0,0.099495,60,0
1,0,0,66.00542,0,0,0.051076,60,0
1,0,0,67.00605,0,0,-0.016986,60,0
1,0,0,68.00515,0,0,-0.037237,60,0
1,0,0,68.99735,0,0,0.03743,68,0
1,0,0,69.99286,0,0,0.044188,60,0
1,0,0,71.00539,0,0,0.038752,60,0
1,0,0,72.00552,0,0,0.033815,60,0
1,0,0,73.00076,0,0,-0.047132,86,0
1,0,0,74.00061,0,0,-0.008143,90,0
1,0,0,75.00166,0,0,-0.004072,90,0
1,0,0,76.00089,0,0,-0.031539,90,0
1,0,0,77.00264,0,0,-0.026961,90,0
1,0,0,78.00224,0,0,-0.006198,90,0
1,0,0,78.99158,0,0,0.005133,90,0
1,0,0,79.99146,0,0,-0.016346,90,0
1,0,0,80.99174,0,0,-0.003917,90,0
1,0,0,81.99246,0,0,-0.004449,90,0
1,0,0,82.99165,0,0,0.002091,90,0
1,0,0,0,0,0,-0.042146,90,0
1,0,0,1.00886,0,0,0.009963,88,0
1,0,0,2.009711,0,0,0.013416,90,0
1,0,0,3.010001,0,0,0.014463,90,0
1,0,0,4.010802,0,0,0.016446,90,0
1,0,0,5.011194,0,0,0.021155,90,0
