@relation dataset_c1_b

@attribute UserGenere {0,1}
@attribute UserAge {0,1,2}
@attribute UserExperience {0,1}
@attribute UserGlassesUse {0,1}
@attribute UserVisionProblems {0,1,2,3,4,5}
@attribute UserEyeDominance {0,1}
@attribute RegionOfInterest {0,1,2}
@attribute TimeStamp numeric
@attribute PlayerSpeed numeric
@attribute PlayerAcceleration numeric
@attribute CameraRotationX numeric
@attribute CameraRotationY numeric
@attribute CameraRotationZ numeric
@attribute PlayerPositionX numeric
@attribute PlayerPositionY numeric
@attribute PlayerPositionZ numeric
@attribute GameFps numeric
@attribute DiscomfortLevel {0,1}

@data
0,0,0,0,0,0,1,235.9945,19,6,0.092778,-0.062729,0.040562,-146.5463,7.291427,-102.3015,90,1
0,0,0,0,0,0,1,236.9939,2,-17,0.075343,-0.048997,0.057271,-145.4657,7.273459,-102.3868,90,1
0,0,0,0,0,0,0,237.9933,3,1,0.030424,0.087341,0.04603,-145.0731,7.203084,-102.9097,90,1
0,0,0,0,0,0,0,238.9939,3,0,-0.028082,0.200501,-0.009899,-144.5649,7.116016,-103.5655,90,1
0,0,0,0,0,0,0,239.9943,6,3,0.010114,0.030397,0.023558,-144.5714,7.103141,-103.6775,90,1
0,0,0,0,0,0,0,240.9942,3,-3,0.024717,0.046334,0.036661,-145.9104,7.281266,-102.4671,90,1
0,0,0,0,0,0,0,241.9942,7,4,0.028186,0.04789,0.035697,-145.8053,7.246939,-102.6752,90,1
0,0,0,0,0,0,0,242.9944,15,8,0.024425,0.037787,0.039225,-143.6821,6.936832,-104.9859,90,1
0,0,0,0,0,0,1,243.9944,9,-6,0.015902,0.034955,0.038643,-141.3079,6.637224,-107.467,90,1
0,0,0,0,0,0,1,244.9943,5,-4,0.027563,0.076613,0.005141,-140.1144,6.49514,-108.8398,90,1
0,0,0,0,0,0,1,245.9946,3,-2,0.004591,0.128601,0.05395,-139.2935,6.441465,-109.3715,90,1
0,0,0,0,0,0,1,246.9949,14,11,-0.001988,0.25727,0.054459,-140.8191,6.492311,-108.9663,90,1
0,0,0,0,0,0,0,247.9954,5,-9,0.007728,0.288054,0.049774,-143.5473,6.588439,-108.3656,90,1
